year,rtfpna
1950,0.7981593012809753
1951,0.860931396484375
1952,0.87696772813797
1953,0.8552044630050659
1954,0.9291679263114929
1955,0.9818485975265503
1956,1.0271602869033813
1957,1.0740375518798828
1958,1.0915502309799194
1959,1.0855638980865479
1960,1.1482443809509277
1961,1.129815697669983
1962,1.1326359510421753
1963,1.1914269924163818
1964,1.2908802032470703
1965,1.2937291860580444
1966,1.30258047580719
1967,1.306867003440857
1968,1.3471068143844604
1969,1.331274151802063
1970,1.3517636060714722
1971,1.332947015762329
1972,1.3607896566390991
1973,1.3837183713912964
1974,1.3739711046218872
1975,1.3531204462051392
1976,1.3270817995071411
1977,1.3015443086624146
1978,1.325737714767456
1979,1.346103310585022
1980,1.3495864868164062
1981,1.3662800788879395
1982,1.2887375354766846
1983,1.2136229276657104
1984,1.2130910158157349
1985,1.1946879625320435
1986,1.1141175031661987
1987,1.0997505187988281
1988,1.0755729675292969
1989,1.0845842361450195
1990,1.0988974571228027
1991,1.1010850667953491
1992,1.0961675643920898
1993,1.0781174898147583
1994,1.0766171216964722
1995,1.0050045251846313
1996,1.023274302482605
1997,1.0445234775543213
1998,1.0514060258865356
1999,1.0501482486724854
2000,1.0727753639221191
2001,1.0367354154586792
2002,1.0050327777862549
2003,0.9912721514701843
2004,0.9949626922607422
2005,1
2006,1.01175057888031
2007,1.0136733055114746
2008,0.9915478229522705
2009,0.9158785343170166
2010,0.9416036605834961
2011,0.9557656645774841
