tons corn,gdp_china;
323,560,722749656803;
431,604,459124130033;
345,651,002476688046;
422,706,33768720653;
464,765,670052931878;
340,835,346027748679;
440,918,880630523547;
508,1012,60645483695;
449,1128,04359068836;
559,1271,30512670578;
987,1453,10175982471;
925,1594,05263052771;
839,1743,89357779731;
881,1928,74629704383;
881,2111,97719526299;
1454,2278,82339368877;
1838,2456,57161839649;
1328,2635,90134653944;
1777,2817,77853945066;
1423,3009,3874801333;
1487,3217,0352162625;
1456,3432,57657575209;
2315,3641,96374687296;
