year;tons corn;gdp_china;price_corn
1997-1;323;560,7 ;93,2 
1998-1;431;604,5 ;80,8 
1999-1;345;651,0 ;71,8 
2000-1;422;706,3 ;70,2 
2001-1;464;765,7 ;71,3 
2002-1;340;835,3 ;79,0 
2003-1;440;918,9 ;83,7 
2004-1;508;1012,6 ;89,0 
2005-1;449;1128,0 ;78,4 
2006-1;559;1271,3 ;96,8 
2007-1;987;1453,1 ;130,1 
2008-1;925;1594,1 ;177,7 
2009-1;839;1743,9 ;131,7 
2010-1;881;1928,7 ;147,9 
2011-1;881;2112,0 ;232,2 
2012-1;1454;2278,8 ;237,4 
2013-1;1838;2456,6 ;206,0 
2014-1;1328;2635,9 ;153,5 
2015-1;1777;2817,8 ;135,1 
2016-1;1423;3009,4 ;126,7 
2017-1;1487;3217,0 ;123,0 
2018-1;1456;3432,6 ;130,9 
2019-1;2315;3642,0 ;135,4 
