Country,sugar,corn,(sugar+corn)
Iran,480091597,2822336281,3302427878
Bangladesh,2063174600,527878978,2591053578
Algeria,2176380928,265081316,2441462244
Egypt,1010584065,1375065136,2385649201
Malaysia,1039031070,696333511,1735364581
India,1696095360,8244972,1704340332
Saudi Arabia,1380455693,300037345,1680493038
United Arab Emirates,1538397895,56628745,1595026640
Japan,2653749,1574975592,1577629341
Vietnam,4175443,1551035208,1555210651
Spain,52132872,1335780242,1387913114
Nigeria,1336515029,5454746,1341969775
Morocco,931580393,353889836,1285470229
Iraq,1158541230,44956,1158586186
South Korea,11865238,1024567902,1036433140
Canada,848568321,5713251,854281572
Taiwan,35404479,815565313,850969792
China,742235381,25596456,767831837
United States,520854543,109788883,630643426
Yemen,588608579,341219,588949798
Paraguay,23280966,468793388,492074354
Indonesia,402955819,70103014,473058833
Mexico,11418934,422498837,433917771
Angola,426284550,7018827,433303377
Tunisia,342332161,32517514,374849675
Portugal,39717316,318431569,358148885
Russia,354459374,553344,355012718
Venezuela,288530301,47350448,335880749
Dominican Republic,486021,334572091,335058112
Netherlands,42743555,280863896,323607451
Benin,317432214,69761,317501975
South Africa,205397674,15314816,220712490
Colombia,51801553,166532815,218334368
Togo,202634484,145470,202779954
Georgia,202337547,,202337547
Ghana,195644667,137505,195782172
Argentina,605927,173577204,174183131
Ireland,,167931658,167931658
Israel,58036819,91978403,150015222
Jordan,,149780475,149780475
Somalia,149312349,,149312349
Gambia,146738322,35383,146773705
Kenya,141317930,139652,141457582
Mauritania,109847694,82845,109930539
Italy,3584794,105577035,109161829
Guinea,106377763,,106377763
Myanmar,104859371,87910,104947281
United Kingdom,57770246,44633333,102403579
