months,2005,2006,2007,2008,2009,2010,2011,2012
jan,335635255,437043485,354561363,733097427,640880912,341627151,601616420,955059360
feb,340526643,352152014,402400819,573568972,499311216,596132281,518148392,1187215687
mar,708627880,937036951,915620376,986211047,1375504734,1640371038,2050966819,2689455871
apr,936308695,864195951,1207634083,1865158326,2086744648,2245663840,3044388709,2903081445
may,906689114,901412573,1296354486,2751068629,2320117599,2655935556,3377417552,4890980418
jun,1117313096,760295979,1233491469,2193909516,3257074101,2133997913,3122463213,3307529400
jul,1080731964,1439612162,1325971848,2833725151,2204262770,2185172863,2548127280,3148869063
aug,1112776756,1104001672,1282647763,1852567280,1930325931,1660465869,2548001026,2356150755
sep,835173823,790456972,970838284,1632602974,1361148349,1446077375,2218257716,1801671150
oct,788131532,718484422,1222152078,1173387279,780171346,986755737,1399506618,1511136229
nov,739060222,549752249,638628352,801219343,443492162,689000076,1540270639,874722216
dec,562952031,474085286,602710571,692854277,417533383,591017173,1189139536,634862465
