date,product,state,country,type,route,tons,usd
1997-01-01,corn,ES,United States,Import,Sea,44.045,113029
1997-01-01,corn,GO,Argentina,Import,Ground,54,36720
1997-01-01,corn,GO,Bolivia,Export,Ground,0.2,180
1997-01-01,corn,GO,United States,Export,Sea,3.488,5688
1997-01-01,corn,MG,Argentina,Import,Ground,27,18630
1997-01-01,corn,MS,Paraguay,Export,Ground,40,38700
1997-01-01,corn,PE,Argentina,Import,Sea,6300,847350
1997-01-01,corn,PE,Uruguay,Import,Sea,2625,324188
1997-01-01,corn,PR,Argentina,Import,Ground,27,17010
1997-01-01,corn,PR,Netherlands,Export,Sea,170000,2e+07
1997-01-01,corn,PR,Paraguay,Export,Ground,258.3,386733
1997-01-01,corn,RS,United States,Export,Sea,70,142400
1997-01-01,corn,SC,Argentina,Export,Ground,8,4000
1997-01-01,corn,SP,Argentina,Import,Ground,189,123120
1997-01-01,corn,SP,Ecuador,Export,Air,0.34,6999
1997-01-01,corn,SP,Paraguay,Export,Ground,26.38,38728
1997-01-01,corn,SP,Paraguay,Export,Other,1.022,1876
1997-01-01,corn,SP,Paraguay,Import,Ground,2000,159340
1997-01-01,corn,SP,United States,Import,Sea,301.52,84009
1997-01-01,soybean_meal,GO,Netherlands,Export,Sea,419.07,119318
1997-01-01,soybean_meal,GO,Netherlands,Export,Sea,5000,1414250
1997-01-01,soybean_meal,MS,Germany,Export,Sea,140.672,38378
1997-01-01,soybean_meal,MS,Hungary,Export,Sea,15000,4042100
1997-01-01,soybean_meal,MS,Netherlands,Export,Sea,14000,3850162
1997-01-01,soybean_meal,MT,Germany,Export,Sea,5000,1397150
1997-01-01,soybean_meal,MT,Hungary,Export,Sea,10875.5,2902485
1997-01-01,soybean_meal,MT,Netherlands,Export,Sea,14926.385,3975031
1997-01-01,soybean_meal,PE,Argentina,Import,Sea,1500,410350
1997-01-01,soybean_meal,PE,Argentina,Import,Sea,2159,587615
1997-01-01,soybean_meal,PR,Bermuda,Export,Sea,2000,507960
1997-01-01,soybean_meal,PR,Cameroon,Export,Sea,300,84000
1997-01-01,soybean_meal,PR,Denmark,Export,Sea,2949.17,943734
1997-01-01,soybean_meal,PR,France,Export,Sea,25971.047,6948959
1997-01-01,soybean_meal,PR,Germany,Export,Sea,11796.328,3292290
1997-01-01,soybean_meal,PR,Hungary,Export,Sea,12586.772,3318511
1997-01-01,soybean_meal,PR,Indonesia,Export,Sea,6323,1905830
1997-01-01,soybean_meal,PR,Italy,Export,Sea,2093.164,589226
1997-01-01,soybean_meal,PR,Netherlands,Export,Sea,5430.274,543657
1997-01-01,soybean_meal,PR,Netherlands,Export,Sea,88292.244,24136218
1997-01-01,soybean_meal,PR,Panama,Export,Sea,16938.53,5106628
